model_NavgTop_w_beta,iteration,model,NavgTop,w_beta,f1_micro,f1_macro,exact_match_ratio,precision@8,precision@15,map,precision@recall,precision_micro,recall_micro,fpr_micro,auc_micro,auc_macro
PLMICD_5_0.1,9,PLMICD,5,0.1,53.9,18.1,0.2,66.6,52.5,57.3,55.2,49.4,59.3,0.1,99.0,95.9
PLMICD_5_0.1,10,PLMICD,5,0.1,53.7,18.1,0.2,66.2,52.2,56.9,54.9,48.8,59.6,0.1,99.0,95.9
PLMICD_10_0.1,0,PLMICD,10,0.1,57.5,17.3,0.3,69.0,53.9,60.5,56.6,60.7,54.6,0.1,99.2,96.0
PLMICD_10_0.1,1,PLMICD,10,0.1,57.5,17.5,0.3,69.1,54.0,60.6,56.7,59.8,55.4,0.1,99.1,96.0
PLMICD_10_0.1,2,PLMICD,10,0.1,57.5,17.6,0.3,69.0,54.0,60.3,56.7,59.0,56.1,0.1,99.1,96.0
PLMICD_10_0.1,3,PLMICD,10,0.1,57.4,17.7,0.2,68.8,54.0,60.0,56.6,58.2,56.7,0.1,99.1,96.0
PLMICD_10_0.1,4,PLMICD,10,0.1,57.3,17.8,0.3,68.5,53.9,59.6,56.5,57.3,57.3,0.1,99.1,95.9
PLMICD_10_0.1,5,PLMICD,10,0.1,57.1,17.9,0.2,68.3,53.7,59.2,56.4,56.4,57.8,0.1,99.0,95.9
PLMICD_10_0.1,6,PLMICD,10,0.1,56.7,18.0,0.2,68.0,53.6,58.8,56.3,55.4,58.2,0.1,99.0,95.9
PLMICD_10_0.1,7,PLMICD,10,0.1,56.4,18.0,0.2,67.7,53.4,58.5,56.1,54.3,58.6,0.1,99.0,95.9
PLMICD_10_0.1,8,PLMICD,10,0.1,56.0,18.1,0.2,67.3,53.2,58.1,55.9,53.3,59.0,0.1,99.0,95.9
PLMICD_10_0.1,9,PLMICD,10,0.1,55.5,18.1,0.2,67.0,53.0,57.7,55.6,52.1,59.3,0.1,99.0,95.9
PLMICD_10_0.1,10,PLMICD,10,0.1,55.1,18.1,0.2,66.6,52.7,57.4,55.4,51.1,59.7,0.1,99.0,95.9
PLMICD_20_0.1,0,PLMICD,20,0.1,57.5,17.3,0.3,69.0,53.9,60.5,56.6,60.7,54.6,0.1,99.2,96.0
PLMICD_20_0.1,1,PLMICD,20,0.1,57.6,17.5,0.3,69.1,54.0,60.6,56.7,59.9,55.4,0.1,99.1,96.0
PLMICD_20_0.1,2,PLMICD,20,0.1,57.5,17.6,0.3,69.1,54.0,60.4,56.7,59.1,56.1,0.1,99.1,96.0
PLMICD_20_0.1,3,PLMICD,20,0.1,57.5,17.7,0.3,68.9,54.0,60.1,56.6,58.2,56.7,0.1,99.1,95.9
PLMICD_20_0.1,4,PLMICD,20,0.1,57.3,17.7,0.3,68.6,53.9,59.8,56.6,57.4,57.3,0.1,99.1,95.9
PLMICD_20_0.1,5,PLMICD,20,0.1,57.2,17.8,0.2,68.3,53.8,59.4,56.5,56.6,57.8,0.1,99.0,95.9
PLMICD_20_0.1,6,PLMICD,20,0.1,56.9,17.9,0.2,68.1,53.7,59.1,56.3,55.6,58.2,0.1,99.0,95.9
PLMICD_20_0.1,7,PLMICD,20,0.1,56.6,17.9,0.2,67.7,53.5,58.7,56.2,54.6,58.6,0.1,99.0,95.9
PLMICD_20_0.1,8,PLMICD,20,0.1,56.2,17.9,0.2,67.4,53.3,58.4,56.0,53.7,59.0,0.1,99.0,95.9
PLMICD_20_0.1,9,PLMICD,20,0.1,55.8,18.0,0.2,67.1,53.1,58.0,55.8,52.7,59.3,0.1,99.0,95.9
PLMICD_20_0.1,10,PLMICD,20,0.1,55.4,18.0,0.2,66.7,53.0,57.7,55.6,51.7,59.7,0.1,99.0,95.9
PLMICD_40_0.1,0,PLMICD,40,0.1,57.5,17.3,0.3,69.0,53.9,60.5,56.6,60.7,54.6,0.1,99.2,96.0
PLMICD_40_0.1,1,PLMICD,40,0.1,57.6,17.4,0.3,69.1,54.0,60.6,56.6,59.9,55.4,0.1,99.1,96.0
PLMICD_40_0.1,2,PLMICD,40,0.1,57.6,17.5,0.3,69.1,54.0,60.4,56.7,59.1,56.1,0.1,99.1,95.9
PLMICD_40_0.1,3,PLMICD,40,0.1,57.5,17.6,0.3,68.9,54.0,60.1,56.7,58.3,56.7,0.1,99.1,95.9
PLMICD_40_0.1,4,PLMICD,40,0.1,57.3,17.7,0.3,68.7,53.9,59.8,56.6,57.5,57.2,0.1,99.0,95.9
PLMICD_40_0.1,5,PLMICD,40,0.1,57.2,17.7,0.2,68.4,53.8,59.5,56.5,56.6,57.8,0.1,99.0,95.9
PLMICD_40_0.1,6,PLMICD,40,0.1,56.9,17.8,0.2,68.1,53.7,59.2,56.3,55.7,58.2,0.1,99.0,95.9
PLMICD_40_0.1,7,PLMICD,40,0.1,56.6,17.8,0.2,67.8,53.5,58.9,56.2,54.8,58.6,0.1,99.0,95.8
PLMICD_40_0.1,8,PLMICD,40,0.1,56.3,17.8,0.2,67.4,53.4,58.5,56.0,53.8,59.0,0.1,99.0,95.8
PLMICD_40_0.1,9,PLMICD,40,0.1,55.9,17.9,0.2,67.1,53.2,58.2,55.8,52.8,59.3,0.1,98.9,95.8
PLMICD_40_0.1,10,PLMICD,40,0.1,55.5,17.9,0.2,66.7,53.0,57.8,55.6,51.9,59.7,0.1,98.9,95.8
